domain,Baseline,PRIS,PRSIS,PRRIS,metric,user_simulator,source_table,source_file,source_commit,status,training_dialogues_in_caption
airline,0.554,0.600,0.658,0.632,success_rate,Template+Retrieval,Table:5,elsarticle-template.tex,e34cb6547dbc119956c2c3fff0b604766d6b76d6,manuscript-reported,15000
fastfood,0.572,0.608,0.684,0.782,success_rate,Template+Retrieval,Table:5,elsarticle-template.tex,e34cb6547dbc119956c2c3fff0b604766d6b76d6,manuscript-reported,15000
finance,0.602,0.650,0.712,0.714,success_rate,Template+Retrieval,Table:5,elsarticle-template.tex,e34cb6547dbc119956c2c3fff0b604766d6b76d6,manuscript-reported,15000
insurance,0.664,0.666,0.706,0.724,success_rate,Template+Retrieval,Table:5,elsarticle-template.tex,e34cb6547dbc119956c2c3fff0b604766d6b76d6,manuscript-reported,15000
media,0.566,0.608,0.654,0.732,success_rate,Template+Retrieval,Table:5,elsarticle-template.tex,e34cb6547dbc119956c2c3fff0b604766d6b76d6,manuscript-reported,15000
software,0.488,0.546,0.632,0.616,success_rate,Template+Retrieval,Table:5,elsarticle-template.tex,e34cb6547dbc119956c2c3fff0b604766d6b76d6,manuscript-reported,15000
